"","user","negative","positive","sentiment","lon","lat"
"2546","isabellafoood",0,1,1,NA,NA
"2547","isaianaa",1,0,-1,-95.3698028,29.7604267
"2548","ismaelm96",0,2,2,NA,NA
"2549","ismailkidd",0,1,1,-118.2436849,34.0522342
"2550","isssssa_",0,1,1,NA,NA
"2551","isvvc02",1,0,-1,NA,NA
"2552","Ita_kake",1,0,-1,NA,NA
"2553","itheezilla",0,1,1,NA,NA
"2554","itisalovelylife",0,2,2,NA,NA
"2555","itsaarontaylor_",1,1,0,-117.2086513,34.1283442
"2556","itsalegaray",0,1,1,-81.5157535,27.6648274
"2557","ItsAshley49",0,1,1,NA,NA
"2558","ItsBanessaa",0,1,1,NA,NA
"2559","Itsbriiiiiiii",1,0,-1,-96.4306789,43.2001132
"2560","itsgabsbaby",0,1,1,-118.3925845,34.2034259
"2561","itshannahcolvin",1,0,-1,-79.1450445,41.8439486
"2562","itsjamiesuee",0,1,1,-82.5551733,41.3950489
"2563","itsJason",1,0,-1,-122.4194155,37.7749295
"2564","ItsJordysWorld",0,1,1,-74.0059728,40.7127753
"2565","itskassidy_07",0,1,1,NA,NA
"2566","itskayleeperez",0,1,1,NA,NA
"2567","itskimmy18",1,0,-1,NA,NA
"2568","ItsMe_Embun",1,0,-1,NA,NA
"2569","ItsMeTwitt",3,3,0,NA,NA
"2570","itsnimzay2",5,1,-4,NA,NA
"2571","ItsPaoloni",1,0,-1,NA,NA
"2572","itspaulaslife",0,2,2,NA,NA
"2573","itsrosebvdd",0,1,1,NA,NA
"2574","ItssNicole__",0,1,1,NA,NA
"2575","itssvictoria_",0,1,1,-81.4735257,28.4720521
"2576","itstasha143",0,1,1,NA,NA
"2577","itsyaboizamasu",0,1,1,NA,NA
"2578","itzelalvrz",0,1,1,-102.552784,23.634501
"2579","IvanAlman",0,1,1,NA,NA
"2580","ivanlazcon",2,0,-2,-13.569808,28.9816195
"2581","ivanski",1,0,-1,-122.4194155,37.7749295
"2582","IvansTerrible",0,1,1,-82.4571776,27.950575
"2583","IvenEyas",3,1,-2,NA,NA
"2584","IvonneAdeoya",0,1,1,NA,NA
"2585","IvyFoliage",2,1,-1,NA,NA
"2586","IWillRedPillYou",1,0,-1,NA,NA
"2587","IWriteAllDay_",0,1,1,-75.103454,39.9651988
"2588","IWriteVictuuri",0,1,1,NA,NA
"2589","iwrott",1,0,-1,NA,NA
"2590","IxusLXXIX",2,1,-1,NA,NA
"2591","izahgummy",0,1,1,NA,NA
"2592","izzyfrias",1,2,1,-118.2436849,34.0522342
"2593","j_brownie12",0,1,1,NA,NA
"2594","J_Christensen17",0,1,1,NA,NA
"2595","J_is_grrr",0,1,1,-95.712891,37.09024
"2596","j_jrohde",2,0,-2,-82.907123,40.4172871
"2597","J_Menchaca",1,0,-1,NA,NA
"2598","J_Monty11",0,1,1,-98.522754,29.4770938
"2599","j_rxm0s",0,1,1,-118.2436849,34.0522342
"2600","J_sizzle__",1,0,-1,NA,NA
"2601","j_vcr",1,0,-1,-73.9441579,40.6781784
"2602","j03myg0d",0,1,1,NA,NA
"2603","J0nL0n",1,0,-1,NA,NA
"2604","j0nnysn1per",2,0,-2,NA,NA
"2605","ja_who93",0,1,1,-92.1053864,37.8287218
"2606","jaaaneeth03",0,1,1,NA,NA
"2607","JacekSalaj",0,2,2,NA,NA
"2608","jaciem",1,0,-1,-97.7430608,30.267153
"2609","JacK_O_SauRus",0,1,1,133.775136,-25.274398
"2610","jack62222",0,1,1,-0.1277583,51.5073509
"2611","JackalopeJamie",0,3,3,NA,NA
"2612","JackAnthony32",0,1,1,-2.487529,53.748575
"2613","JackCain",1,0,-1,NA,NA
"2614","JackDTylerD",1,2,1,NA,NA
"2615","jackelynbartel1",0,1,1,NA,NA
"2616","jackfpaylor",1,0,-1,-95.374032,29.7020288
"2617","jackie_chula16",0,1,1,NA,NA
"2618","jackieecruz1",1,0,-1,NA,NA
"2619","jackiegarzaaa",0,1,1,NA,NA
"2620","JackiePerez_15",1,0,-1,NA,NA
"2621","JackJoonie",1,2,1,NA,NA
"2622","jackster_93",0,2,2,NA,NA
"2623","Jacob__Solo",0,1,1,77.30292,19.167715
"2624","jacob_4_eva",1,0,-1,NA,NA
"2625","Jacob_Rod98",1,0,-1,-77.4302414,34.7540524
"2626","JacobGaberdiel",1,1,0,-83.1499322,42.6583661
"2627","jacobpolitte",0,1,1,-90.355678,38.524537
"2628","Jacobrd1983",0,2,2,-91.2351393,43.8844092
"2629","JacobSn50268923",0,1,1,-80.347009,41.0036719
"2630","jacobspinchenzo",1,0,-1,114.1743468,22.3027494
"2631","Jacquelineelara",0,1,1,-97.3307658,32.7554883
"2632","JacquiJaime_",0,1,1,NA,NA
"2633","jade3457",1,0,-1,NA,NA
"2634","JadeJordanLacey",0,1,1,-115.1398296,36.1699412
"2635","JadeLightning",0,1,1,-97.7430608,30.267153
"2636","jader1415",0,1,1,-91.8318334,37.9642529
"2637","jadessham",0,1,1,NA,NA
"2638","JadeSteele21",2,0,-2,NA,NA
"2639","jadyynnn_",1,0,-1,NA,NA
"2640","jaelandavis",1,0,-1,NA,NA
"2641","jaggies_",1,0,-1,-122.6764815,45.5230622
"2642","jagthedrummer",1,0,-1,-97.092877,35.0077519
"2643","Jaidynsmith_01",0,1,1,NA,NA
"2644","Jaimonster",1,0,-1,-99.133208,19.4326077
"2645","jake_lep",1,0,-1,NA,NA
"2646","JakeBachman316",3,1,-2,NA,NA
"2647","jakelstiltskin",1,0,-1,-94.6858998,46.729553
"2648","JakeMarshall91",1,1,0,NA,NA
"2649","jakemillerSG",0,1,1,-80.0261797,40.365113
"2650","jakeshmosby",0,1,1,-118.3812562,34.187044
"2651","JaketGray",0,1,1,-4.1426565,50.3754565
"2652","Jaketoll27",0,1,1,0.4022963,52.7516798
"2653","jakkujessica",0,1,1,-3.435973,55.378051
"2654","Jakndax89",0,1,1,NA,NA
